"Year","Sex","Country","Region","Health board","Birthweight","Age","Neonatal period","Unit measure","Unit multiplier","Observation status","GeoCode","Value"
"2017","","England and Wales","","","2500 to 2999","40  and  over","","Rate per 1,000 live births","Units","Undefined","K04000001","0.9"
"2017","","England and Wales","","","2500 to 2999","Not stated","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","2500 to 2999","Not stated","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","2500 to 2999","Not stated","","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3000 to 3499","All","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","3000 to 3499","All","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","3000 to 3499","All","","Rate per 1,000 live births","Units","Undefined","K04000001","0.5"
"2017","","England and Wales","","","3000 to 3499","Less than 20","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3000 to 3499","Less than 20","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","3000 to 3499","Less than 20","","Rate per 1,000 live births","Units","Undefined","K04000001","0.8"
"2017","","England and Wales","","","3000 to 3499","20 to 24","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","3000 to 3499","20 to 24","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.3"
"2017","","England and Wales","","","3000 to 3499","20 to 24","","Rate per 1,000 live births","Units","Undefined","K04000001","0.4"
"2017","","England and Wales","","","3000 to 3499","25 to 29","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.3"
"2017","","England and Wales","","","3000 to 3499","25 to 29","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","3000 to 3499","25 to 29","","Rate per 1,000 live births","Units","Undefined","K04000001","0.5"
"2017","","England and Wales","","","3000 to 3499","30 to 34","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","3000 to 3499","30 to 34","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.1"
"2017","","England and Wales","","","3000 to 3499","30 to 34","","Rate per 1,000 live births","Units","Undefined","K04000001","0.3"
"2017","","England and Wales","","","3000 to 3499","35 to 39","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","3000 to 3499","35 to 39","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.3"
"2017","","England and Wales","","","3000 to 3499","35 to 39","","Rate per 1,000 live births","Units","Undefined","K04000001","0.5"
"2017","","England and Wales","","","3000 to 3499","40  and  over","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.5"
